Trial_number;bc_release;condition;delay;latency;result
256;849;1;285;975;1
257;595;1;194;825;0
258;732;1;141;859;1
259;803;0;228;927;1
260;720;0;277;828;1
261;703;1;171;819;1
262;869;1;294;982;1
263;776;1;190;889;1
264;757;0;151;865;1
265;711;1;145;817;1
266;730;1;213;1049;1
267;722;1;233;859;1
268;959;1;293;1136;1
269;984;0;261;1117;1
270;753;1;149;1107;1
271;750;1;218;889;1
272;887;1;234;1020;1
273;849;1;148;992;1
274;795;1;189;946;1
275;924;1;260;1036;1
276;681;1;191;811;1
277;766;1;192;888;1
278;857;1;231;1004;1
279;986;1;251;1226;1
280;620;0;197;749;1
281;771;0;103;885;1
282;635;0;171;775;1
283;766;0;112;933;1
284;909;1;126;1030;1
285;794;1;244;912;0
286;1051;1;235;1173;1
287;865;1;230;986;1
288;1578;1;244;1700;1
289;686;1;136;818;1
290;833;1;271;943;1
291;813;1;245;952;1
292;843;0;162;975;1
293;882;1;133;997;1
294;881;1;253;999;1
295;1092;1;293;1220;1
296;700;1;246;815;1
297;771;1;253;886;1
298;807;1;298;909;1
299;691;1;247;807;1
300;673;1;193;807;1
301;1036;1;261;1143;1
302;785;1;216;896;1
303;948;0;221;1034;1
304;768;0;232;899;1
305;729;1;241;858;1
306;820;1;227;953;1
307;611;1;170;725;1
308;530;0;186;633;1
309;700;0;222;818;1
310;808;1;257;907;1
311;861;1;106;977;1
312;768;1;296;880;1
313;691;1;160;815;1
314;877;1;102;991;1
315;1255;1;143;1362;1
316;684;1;160;783;1
317;759;1;227;878;1
318;670;1;177;787;1
319;626;0;108;747;1
320;854;1;280;968;1
321;1593;0;290;1779;0
322;850;1;205;965;1
323;1675;1;261;1793;1
324;1195;0;220;1319;1
325;989;1;107;1133;1
326;1006;1;204;1145;1
327;649;0;133;758;1
328;1301;1;183;1421;1
329;950;1;200;1062;1
330;1017;1;120;1130;1
331;669;1;127;810;1
332;1395;1;298;1509;1
333;792;1;209;916;1
334;857;1;276;983;1
335;1038;1;246;1142;0
336;1002;0;165;1120;1
337;960;1;143;1119;1
338;980;1;142;1087;1
339;711;0;135;838;1
340;896;1;285;1017;1
341;666;1;240;777;1
342;866;1;293;964;1
343;698;1;254;793;1
344;642;1;126;732;0
345;1282;1;241;1375;1
346;899;1;162;1010;1
347;716;1;131;840;1
348;772;1;268;890;1
349;585;0;166;698;1
350;732;1;242;858;1
351;732;1;168;868;1
352;800;1;283;904;1
353;732;1;229;845;0
354;832;1;148;967;1
355;868;1;226;974;1
356;761;1;288;888;1
357;908;1;151;1017;1
358;620;1;113;749;1
359;668;1;130;800;1
360;1441;0;261;1564;1
361;613;0;297;742;1
362;1220;1;295;1343;1
363;766;1;192;878;1
364;599;1;118;987;1
365;1110;1;269;1233;1
366;677;1;184;787;1
367;575;0;263;699;1
368;729;1;245;841;1
369;626;0;152;761;1
370;750;1;159;864;1
371;660;1;256;777;1
372;754;1;255;869;1
373;643;1;206;747;1
374;721;0;173;830;1
375;618;0;139;728;1
376;569;1;138;699;1
377;727;1;283;829;1
378;703;1;256;832;1
379;587;1;126;716;1
380;572;1;100;697;1
381;664;1;175;791;0
