Trial_number;bc_release;condition(1 = change);delay;latency;result(1 = success, 2 = missed)
248;664;1;279;800;1
249;706;0;294;812;1
250;823;1;260;1122;1
251;605;1;120;714;1
252;503;1;168;606;1
253;643;1;149;757;1
254;576;1;147;685;1
255;692;1;133;806;1
256;555;1;285;705;1
257;578;1;194;650;0
258;587;1;141;674;1
259;726;0;228;820;1
260;600;0;277;697;1
261;600;1;171;896;1
262;542;1;294;684;1
263;651;1;190;832;1
264;717;0;151;821;0
265;705;1;145;814;1
266;759;1;213;853;1
267;734;1;233;844;1
268;874;1;293;970;1
269;690;0;261;791;1
270;690;1;149;821;1
271;1002;1;218;1112;1
272;623;1;234;739;1
273;742;1;148;862;1
274;730;1;189;885;1
275;573;1;260;678;1
276;535;1;191;639;1
277;661;1;192;755;1
278;563;1;231;669;1
279;683;1;251;801;1
280;488;0;197;600;1
281;536;0;103;656;1
282;557;0;171;666;1
283;518;0;112;616;1
284;519;1;126;850;1
285;592;1;244;696;1
286;988;1;235;1092;1
287;636;1;230;740;1
288;571;1;244;710;1
289;589;1;136;697;1
290;544;1;271;741;1
291;548;1;245;685;0
292;750;0;162;862;1
293;655;1;133;750;1
294;810;1;253;943;0
295;691;1;293;812;1
296;647;1;246;804;1
297;673;1;253;804;0
298;1203;1;298;1295;1
299;838;1;247;948;1
300;560;1;193;660;1
301;611;1;261;738;1
302;639;1;216;1024;1
303;647;0;221;773;1
304;423;0;232;525;1
305;506;1;241;672;1
306;532;1;227;623;1
307;561;1;170;666;1
308;666;0;186;761;1
309;496;0;222;597;1
310;549;1;257;667;1
311;501;1;106;623;1
312;613;1;296;739;1
313;448;1;160;558;1
314;552;1;102;894;1
315;606;1;143;742;1
316;448;1;160;580;1
317;481;1;227;608;1
318;548;1;177;663;1
319;545;0;108;658;1
320;595;1;280;724;0
321;986;0;290;1114;1
322;562;1;205;696;1
323;956;1;261;1078;1
324;721;0;220;845;1
325;714;1;107;818;1
326;761;1;204;882;1
327;881;0;133;991;1
328;780;1;183;900;1
329;751;1;200;1112;1
330;704;1;120;816;1
331;710;1;127;835;1
332;851;1;298;972;1
333;693;1;209;801;1
334;601;1;276;712;1
335;742;1;246;867;1
336;598;0;165;703;1
337;548;1;143;652;1
338;622;1;142;751;1
339;536;0;135;665;1
340;642;1;285;941;1
341;556;1;240;699;1
342;510;1;293;652;0
343;563;1;254;676;1
344;521;1;126;611;0
345;714;1;241;827;1
346;697;1;162;867;1
347;671;1;131;772;1
348;626;1;268;726;1
349;802;0;166;916;1
350;830;1;242;912;1
351;888;1;168;966;1
352;579;1;283;693;1
353;711;1;229;831;1
354;845;1;148;965;1
355;779;1;226;884;1
356;722;1;288;830;1
357;638;1;151;919;1
358;662;1;113;1051;1
359;557;1;130;756;1
360;1077;0;261;1243;0
361;744;0;297;841;1
362;837;1;295;938;1
363;850;1;192;944;1
364;624;1;118;810;1
365;1770;1;269;1862;1
366;687;1;184;770;1
367;797;0;263;948;1
368;801;1;245;919;1
369;707;0;152;809;1
370;714;1;159;826;0
371;696;1;256;822;1
372;1013;1;255;1121;1
373;753;1;206;847;1
374;680;0;173;1574;1
375;955;0;139;1080;1
376;766;1;138;893;1
377;986;1;283;1123;1
378;737;1;256;855;1
379;712;1;126;814;1
380;930;1;100;1038;1
381;893;1;175;986;1
382;1022;1;187;1155;1
383;1006;1;219;1138;1
384;572;1;203;682;1
385;632;1;245;742;1
386;719;1;190;818;1
387;623;1;164;921;1
388;648;1;223;959;1
389;997;1;234;1473;1
390;604;1;209;701;1
391;638;1;154;777;1
392;571;1;206;674;1
393;569;1;144;683;1
394;552;1;109;657;1
395;680;1;267;936;1
396;585;0;127;716;1
397;387;1;242;696;1
398;480;0;283;582;0
399;762;1;282;870;1
400;503;1;236;592;1
401;544;0;203;666;1
402;433;1;127;550;1
403;510;1;173;623;1
404;676;1;239;788;1
405;414;0;215;529;1
406;546;1;116;655;1
407;521;1;258;630;1
408;487;1;140;598;0
409;814;1;178;906;1
410;583;1;127;687;1
411;629;1;107;729;1
412;631;1;114;732;0
413;654;1;172;761;1
414;512;1;255;627;1
415;593;1;129;681;1
416;612;1;111;729;1
417;561;1;165;680;1
418;790;1;273;1132;1
419;822;1;160;922;1
420;493;1;177;603;1
421;631;1;251;762;0
422;732;1;281;831;1
423;706;0;282;863;1
424;601;1;100;717;1
425;843;1;267;947;1
426;703;0;161;1064;1
427;725;1;196;820;1
428;1008;0;129;1141;1
429;1142;0;158;1273;1
430;530;0;258;625;1
431;478;1;283;805;1
432;607;0;126;725;1
433;543;0;264;661;1
434;516;1;209;629;0
435;634;0;188;805;0
436;940;1;148;1075;1
437;618;0;162;936;1
438;809;0;172;1013;1
439;619;1;232;741;1
440;685;1;285;1215;1
441;663;1;127;794;1
442;650;1;268;759;1
443;634;1;249;822;1
444;670;0;131;766;1
445;534;0;180;657;1
446;595;1;146;709;1
447;644;1;211;921;1
448;607;1;278;1931;1
449;517;0;257;629;1
450;465;1;162;573;1
451;487;0;118;603;1
452;572;1;112;679;1
453;641;0;168;748;1
454;568;1;241;674;1
455;723;1;151;841;1
456;567;1;153;654;1
457;657;1;178;749;1
458;872;1;159;997;1
459;931;1;284;1274;1
460;651;1;210;776;1
461;773;0;270;877;1
462;549;1;150;657;1
463;502;1;135;620;1
464;938;1;236;1052;1
465;651;1;183;794;1
466;792;1;238;929;1
467;590;1;292;932;1
468;450;1;104;815;1
469;624;1;284;886;1
470;676;0;263;1029;1
471;574;1;117;679;1
472;538;1;196;658;1
473;508;1;246;656;1
474;690;1;147;886;1
475;935;1;285;1061;1
476;670;1;245;784;1
477;713;1;227;835;1
478;550;0;238;635;1
479;537;1;152;647;1
480;618;1;225;740;1
